seed,category,pixel_roc_auc,localization_map_mode
42,bottle,0.859033,raw_patch_knn
42,cable,0.809635,raw_patch_knn
42,capsule,0.926242,raw_patch_knn
42,carpet,0.713193,raw_patch_knn
42,grid,0.796515,raw_patch_knn
42,hazelnut,0.943527,raw_patch_knn
42,leather,0.913676,raw_patch_knn
42,metal_nut,0.781419,raw_patch_knn
42,pill,0.868225,raw_patch_knn
42,screw,0.929604,raw_patch_knn
42,tile,0.767483,raw_patch_knn
42,toothbrush,0.94719,raw_patch_knn
42,transistor,0.747261,raw_patch_knn
42,wood,0.767444,raw_patch_knn
42,zipper,0.853143,raw_patch_knn
123,bottle,0.794569,raw_patch_knn
123,cable,0.791695,raw_patch_knn
123,capsule,0.904407,raw_patch_knn
123,carpet,0.712859,raw_patch_knn
123,grid,0.81495,raw_patch_knn
123,hazelnut,0.941695,raw_patch_knn
123,leather,0.893562,raw_patch_knn
123,metal_nut,0.811746,raw_patch_knn
123,pill,0.910027,raw_patch_knn
123,screw,0.939591,raw_patch_knn
123,tile,0.775396,raw_patch_knn
123,toothbrush,0.961055,raw_patch_knn
123,transistor,0.739164,raw_patch_knn
123,wood,0.770119,raw_patch_knn
123,zipper,0.866598,raw_patch_knn
2026,bottle,0.838043,raw_patch_knn
2026,cable,0.789211,raw_patch_knn
2026,capsule,0.921686,raw_patch_knn
2026,carpet,0.722755,raw_patch_knn
2026,grid,0.799031,raw_patch_knn
2026,hazelnut,0.946251,raw_patch_knn
2026,leather,0.915627,raw_patch_knn
2026,metal_nut,0.826609,raw_patch_knn
2026,pill,0.882403,raw_patch_knn
2026,screw,0.935684,raw_patch_knn
2026,tile,0.781925,raw_patch_knn
2026,toothbrush,0.955502,raw_patch_knn
2026,transistor,0.785152,raw_patch_knn
2026,wood,0.784453,raw_patch_knn
2026,zipper,0.839964,raw_patch_knn
